count,date
1,2012-05-27
34,2012-12-20
35,2013-07-17
60,2013-07-20
70,2013-07-24
71,2013-09-15
95,2013-11-17
101,2013-11-25
103,2013-12-05
104,2014-04-19
121,2014-05-04
134,2014-05-09
135,2014-07-07
146,2014-07-22
147,2014-08-01
148,2014-08-07
153,2014-08-12
167,2014-09-18
179,2014-10-03
187,2014-10-16
188,2014-11-04
195,2014-11-05
196,2014-11-09
199,2014-11-11
200,2014-11-13
201,2014-11-14
202,2014-11-17
205,2014-11-20
211,2014-11-22
212,2014-11-25
230,2014-11-27
242,2014-12-08
253,2014-12-11
254,2014-12-13
276,2014-12-23
278,2014-12-29
284,2015-01-07
289,2015-01-21
297,2015-02-03
298,2015-02-06
309,2015-02-27
320,2015-02-28
321,2015-03-01
326,2015-03-05
327,2015-03-11
335,2015-03-12
337,2015-03-15
345,2015-03-25
356,2015-04-20
370,2015-05-05
379,2015-05-14
393,2015-05-26
394,2015-05-27
395,2015-06-04
410,2015-06-12
411,2015-06-14
419,2015-06-23
420,2015-06-26
421,2015-06-27
423,2015-07-03
427,2015-07-05
433,2015-07-07
436,2015-07-08
439,2015-07-10
442,2015-07-11
443,2015-07-13
444,2015-07-14
445,2015-07-15
446,2015-07-22
447,2015-07-28
448,2015-08-03
449,2015-08-09
450,2015-09-02
451,2015-09-09
452,2015-09-15
462,2015-09-25
463,2015-10-06
464,2015-10-07
466,2015-10-13
469,2015-10-22
470,2015-11-18
471,2015-11-25
475,2015-12-08
478,2016-01-18
489,2016-01-19
494,2016-01-27
503,2016-01-30
515,2016-02-02
524,2016-02-04
532,2016-02-08
534,2016-02-09
552,2016-02-11
557,2016-02-12
564,2016-02-17
568,2016-02-19
575,2016-02-25
586,2016-02-29
602,2016-03-01
606,2016-03-04
613,2016-03-08
614,2016-03-09
629,2016-03-15
633,2016-03-16
634,2016-03-21
639,2016-03-22
641,2016-03-27
642,2016-03-28
647,2016-03-29
649,2016-03-30
652,2016-04-01
657,2016-04-07
664,2016-04-08
668,2016-04-13
670,2016-04-14
678,2016-04-19
682,2016-04-21
687,2016-04-25
690,2016-04-26
692,2016-05-03
695,2016-05-13
701,2016-05-17
709,2016-05-26
710,2016-06-01
711,2016-06-06
714,2016-06-07
720,2016-06-14
726,2016-06-29
731,2016-06-30
735,2016-07-08
744,2016-07-19
749,2016-07-25
750,2016-07-26
755,2016-08-03
758,2016-08-10
760,2016-08-11
766,2016-08-12
769,2016-08-16
773,2016-08-17
774,2016-08-27
776,2016-08-29
779,2016-08-30
781,2016-09-01
782,2016-09-03
783,2016-09-13
786,2016-09-16
788,2016-09-25
789,2016-09-28
791,2016-10-04
793,2016-10-11
794,2016-10-14
795,2016-10-17
796,2016-10-18
800,2016-10-25
801,2016-11-03
809,2016-11-11
812,2016-11-18
816,2016-11-19
818,2016-11-24
820,2016-11-28
821,2016-12-02
824,2016-12-05
826,2016-12-06
830,2016-12-08
834,2016-12-12
837,2016-12-17
839,2016-12-20
840,2016-12-22
841,2017-01-04
842,2017-01-16
844,2017-01-18
847,2017-01-20
851,2017-01-24
862,2017-01-25
866,2017-02-02
867,2017-02-03
870,2017-02-07
871,2017-02-08
872,2017-02-15
878,2017-02-16
882,2017-02-23
884,2017-03-01
885,2017-03-02
887,2017-03-08
890,2017-03-16
897,2017-03-23
900,2017-03-30
903,2017-04-06
907,2017-04-12
914,2017-04-17
917,2017-04-21
920,2017-04-24
921,2017-04-25
924,2017-05-04
925,2017-05-05
928,2017-05-10
929,2017-05-12
936,2017-05-22
948,2017-06-01
949,2017-06-07
952,2017-06-08
966,2017-06-15
967,2017-06-16
969,2017-06-23
973,2017-07-05
978,2017-07-06
989,2017-07-14
996,2017-07-19
1001,2017-07-21
1003,2017-07-27
1006,2017-07-31
1007,2017-08-01
1013,2017-08-07
1021,2017-08-08
1022,2017-08-09
1023,2017-08-11
1027,2017-08-17
1028,2017-08-21
1039,2017-08-24
1040,2017-08-30
1043,2017-08-31
1044,2017-09-05
1055,2017-09-07
1065,2017-09-08
1066,2017-09-13
1070,2017-09-18
1075,2017-09-20
1076,2017-09-22
1082,2017-09-26
1083,2017-10-02
1085,2017-10-03
1086,2017-10-04
1093,2017-10-09
1106,2017-10-13
1111,2017-10-17
1117,2017-10-20
1130,2017-10-31
1133,2017-11-01
1135,2017-11-02
1139,2017-11-06
1148,2017-11-13
1160,2017-11-27
1177,2017-12-05
1188,2017-12-06
1194,2017-12-08
1199,2017-12-12
1205,2017-12-13
1214,2017-12-20
1234,2017-12-22
1238,2018-01-05
1251,2018-01-08
1252,2018-01-10
1278,2018-01-24
1279,2018-01-31
1293,2018-02-01
1297,2018-02-02
1301,2018-02-05
1308,2018-02-06
1310,2018-02-07
1311,2018-02-09
1319,2018-02-14
1320,2018-02-15
1327,2018-02-20
1328,2018-02-22
1349,2018-03-01
1350,2018-03-02
1355,2018-03-06
1356,2018-03-07
1360,2018-03-08
1366,2018-03-16
1369,2018-03-20
1370,2018-03-21
1372,2018-03-22
1373,2018-03-23
1375,2018-03-27
1380,2018-04-02
1385,2018-04-03
1387,2018-04-05
1388,2018-04-06
1389,2018-04-07
1391,2018-04-09
1395,2018-04-11
1399,2018-04-12
1401,2018-04-16
1404,2018-04-17
1405,2018-04-20
1411,2018-04-25
1413,2018-04-26
1414,2018-04-27
1419,2018-05-01
1430,2018-05-07
1439,2018-05-10
1440,2018-05-11
1450,2018-05-15
1451,2018-05-18
1455,2018-05-21
1456,2018-05-22
1460,2018-05-23
1461,2018-05-28
1472,2018-05-29
1480,2018-05-30
1484,2018-06-07
1486,2018-06-08
1492,2018-06-14
1506,2018-06-21
1511,2018-06-22
1512,2018-06-26
1517,2018-06-27
1520,2018-06-30
1527,2018-07-01
1528,2018-07-03
1529,2018-07-05
1545,2018-07-17
1550,2018-07-18
1559,2018-07-23
1561,2018-07-24
1562,2018-07-25
1564,2018-07-27
1571,2018-07-31
1579,2018-08-03
1583,2018-08-06
1584,2018-08-07
1589,2018-08-08
1595,2018-08-10
1598,2018-08-14
1605,2018-08-17
1610,2018-08-21
1613,2018-08-27
1617,2018-08-29
1618,2018-08-30
1624,2018-09-04
1630,2018-09-06
1640,2018-09-17
1651,2018-09-21
1652,2018-09-24
1654,2018-09-28
