awarded,country
2016-02-03,US
2016-02-03,NZ
2016-02-04,GB
2016-03-16,AU
2016-05-13,US
2016-04-17,US
2012-12-20,CA
2016-07-12,NO
2016-09-26,NO
2016-09-26,ZA
2016-10-17,US
2016-10-17,US
2016-12-16,AU
2016-12-16,AU
2017-02-09,US
2017-02-21,US
2017-02-21,CA
2017-02-21,IT
2017-02-21,NL
2017-05-08,US
2017-05-08,US
2017-05-08,US
2017-06-05,US
2017-06-05,US
2017-06-05,US
2017-06-05,GB
2017-06-05,GB
2017-06-05,NZ
2017-06-05,US
2017-06-05,US
2017-08-28,US
2017-08-28,GB
2017-08-28,NL
2017-08-28,GB
2017-08-28,ZA
2017-08-28,ZA
2017-08-28,CA
2017-08-28,US
2017-08-28,US
2017-08-28,BE
2017-08-28,CA
2017-08-28,GR
2017-08-28,GB
2018-03-12,AU
2018-03-12,ET
2018-03-12,DE
2018-03-12,NA
2018-03-12,NO
2018-03-12,NZ
2018-03-12,NZ
2018-03-12,ZA
2018-03-12,GB
2018-03-12,GB
2018-03-12,GB
2018-03-12,US
2018-03-12,US
2018-03-12,US
